991,,Charpentier,"""for the development of a method for genome editing""",2020,chemistry
992,,Doudna,"""for the development of a method for genome editing""",2020,chemistry
995,,Milgrom,"""for improvements to auction theory and inventions of new auction formats""",2020,economics
996,,Wilson,"""for improvements to auction theory and inventions of new auction formats""",2020,economics
993,,Glück,"""for her unmistakable poetic voice that with austere beauty makes individual existence universal""",2020,literature
994,,,"""for its efforts to combat hunger, for its contribution to bettering conditions for peace in conflict-affected areas and for acting as a driving force in efforts to prevent the use of hunger as a weapon of war and conflict""",2020,peace
988,,Penrose,"""for the discovery that black hole formation is a robust prediction of the general theory of relativity""",2020,physics
989,,Genzel,"""for the discovery of a supermassive compact object at the centre of our galaxy""",2020,physics
990,,Ghez,"""for the discovery of a supermassive compact object at the centre of our galaxy""",2020,physics
985,,Alter,"""for the discovery of Hepatitis C virus""",2020,medicine
986,,Houghton,"""for the discovery of Hepatitis C virus""",2020,medicine
987,,Rice,"""for the discovery of Hepatitis C virus""",2020,medicine
976,,Goodenough,"""for the development of lithium-ion batteries""",2019,chemistry
977,,Whittingham,"""for the development of lithium-ion batteries""",2019,chemistry
978,,Yoshino,"""for the development of lithium-ion batteries""",2019,chemistry
982,,Banerjee,"""for their experimental approach to alleviating global poverty""",2019,economics
983,,Duflo,"""for their experimental approach to alleviating global poverty""",2019,economics
984,,Kremer,"""for their experimental approach to alleviating global poverty""",2019,economics
980,,Handke,"""for an influential work that with linguistic ingenuity has explored the periphery and the specificity of human experience""",2019,literature
981,,Ahmed Ali,"""for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea""",2019,peace
973,,Peebles,"""for theoretical discoveries in physical cosmology""",2019,physics
974,,Mayor,"""for the discovery of an exoplanet orbiting a solar-type star""",2019,physics
975,,Queloz,"""for the discovery of an exoplanet orbiting a solar-type star""",2019,physics
970,,Kaelin,"""for their discoveries of how cells sense and adapt to oxygen availability""",2019,medicine
971,,Ratcliffe,"""for their discoveries of how cells sense and adapt to oxygen availability""",2019,medicine
972,,Semenza,"""for their discoveries of how cells sense and adapt to oxygen availability""",2019,medicine
963,,Arnold,"""for the directed evolution of enzymes""",2018,chemistry
964,,Smith,"""for the phage display of peptides and antibodies""",2018,chemistry
965,,Winter,"""for the phage display of peptides and antibodies""",2018,chemistry
968,,Nordhaus,"""for integrating climate change into long-run macroeconomic analysis""",2018,economics
969,,Romer,"""for integrating technological innovations into long-run macroeconomic analysis""",2018,economics
979,,Tokarczuk,"""for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life""",2018,literature
966,,Mukwege,"""for their efforts to end the use of sexual violence as a weapon of war and armed conflict""",2018,peace
967,,Murad,"""for their efforts to end the use of sexual violence as a weapon of war and armed conflict""",2018,peace
960,,Ashkin,"""for the optical tweezers and their application to biological systems""",2018,physics
961,,Mourou,"""for their method of generating high-intensity, ultra-short optical pulses""",2018,physics
962,,Strickland,"""for their method of generating high-intensity, ultra-short optical pulses""",2018,physics
958,,Allison,"""for their discovery of cancer therapy by inhibition of negative immune regulation""",2018,medicine
959,,Honjo,"""for their discovery of cancer therapy by inhibition of negative immune regulation""",2018,medicine
944,,Dubochet,"""for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution""",2017,chemistry
945,,Frank,"""for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution""",2017,chemistry
946,,Henderson,"""for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution""",2017,chemistry
949,,Thaler,"""for his contributions to behavioural economics""",2017,economics
947,,Ishiguro,"""who, in novels of great emotional force, has uncovered the abyss beneath our illusory sense of connection with the world""",2017,literature
948,,,"""for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons""",2017,peace
941,,Weiss,"""for decisive contributions to the LIGO detector and the observation of gravitational waves""",2017,physics
942,,Barish,"""for decisive contributions to the LIGO detector and the observation of gravitational waves""",2017,physics
943,,Thorne,"""for decisive contributions to the LIGO detector and the observation of gravitational waves""",2017,physics
938,,Hall,"""for their discoveries of molecular mechanisms controlling the circadian rhythm""",2017,medicine
939,,Rosbash,"""for their discoveries of molecular mechanisms controlling the circadian rhythm""",2017,medicine
940,,Young,"""for their discoveries of molecular mechanisms controlling the circadian rhythm""",2017,medicine
931,,Sauvage,"""for the design and synthesis of molecular machines""",2016,chemistry
932,,Stoddart,"""for the design and synthesis of molecular machines""",2016,chemistry
933,,Feringa,"""for the design and synthesis of molecular machines""",2016,chemistry
935,,Hart,"""for their contributions to contract theory""",2016,economics
936,,Holmström,"""for their contributions to contract theory""",2016,economics
937,,Dylan,"""for having created new poetic expressions within the great American song tradition""",2016,literature
934,,Santos,"""for his resolute efforts to bring the country's more than 50-year-long civil war to an end""",2016,peace
928,,Thouless,"""for theoretical discoveries of topological phase transitions and topological phases of matter""",2016,physics
929,,Haldane,"""for theoretical discoveries of topological phase transitions and topological phases of matter""",2016,physics
930,,Kosterlitz,"""for theoretical discoveries of topological phase transitions and topological phases of matter""",2016,physics
927,,Ohsumi,"""for his discoveries of mechanisms for autophagy""",2016,medicine
921,,Lindahl,"""for mechanistic studies of DNA repair""",2015,chemistry
922,,Modrich,"""for mechanistic studies of DNA repair""",2015,chemistry
923,,Sancar,"""for mechanistic studies of DNA repair""",2015,chemistry
926,,Deaton,"""for his analysis of consumption, poverty, and welfare""",2015,economics
924,,Alexievich,"""for her polyphonic writings, a monument to suffering and courage in our time""",2015,literature
925,,,"""for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011""",2015,peace
919,,Kajita,"""for the discovery of neutrino oscillations, which shows that neutrinos have mass""",2015,physics
920,,McDonald,"""for the discovery of neutrino oscillations, which shows that neutrinos have mass""",2015,physics
916,,Campbell,"""for their discoveries concerning a novel therapy against infections caused by roundworm parasites""",2015,medicine
917,,Ōmura,"""for their discoveries concerning a novel therapy against infections caused by roundworm parasites""",2015,medicine
918,,Tu,"""for her discoveries concerning a novel therapy against Malaria""",2015,medicine
909,,Betzig,"""for the development of super-resolved fluorescence microscopy""",2014,chemistry
910,,Hell,"""for the development of super-resolved fluorescence microscopy""",2014,chemistry
911,,Moerner,"""for the development of super-resolved fluorescence microscopy""",2014,chemistry
915,,Tirole,"""for his analysis of market power and regulation""",2014,economics
912,,Modiano,"""for the art of memory with which he has evoked the most ungraspable human destinies and
uncovered the life-world of the occupation""",2014,literature
913,,Satyarthi,"""for their struggle against the suppression of children and young people and for the right of all children to education""",2014,peace
914,,Yousafzai,"""for their struggle against the suppression of children and young people and for the right of all children to education""",2014,peace
906,,Akasaki,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",2014,physics
907,,Amano,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",2014,physics
908,,Nakamura,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",2014,physics
903,,O'Keefe,"""for their discoveries of cells that constitute a positioning system in the brain""",2014,medicine
904,,Moser,"""for their discoveries of cells that constitute a positioning system in the brain""",2014,medicine
905,,Moser,"""for their discoveries of cells that constitute a positioning system in the brain""",2014,medicine
889,,Karplus,"""for the development of multiscale models for complex chemical systems""",2013,chemistry
890,,Levitt,"""for the development of multiscale models for complex chemical systems""",2013,chemistry
891,,Warshel,"""for the development of multiscale models for complex chemical systems""",2013,chemistry
894,,Fama,"""for their empirical analysis of asset prices""",2013,economics
895,,Hansen,"""for their empirical analysis of asset prices""",2013,economics
896,,Shiller,"""for their empirical analysis of asset prices""",2013,economics
892,,Munro,"""master of the contemporary short story""",2013,literature
893,,,"""for its extensive efforts to eliminate chemical weapons""",2013,peace
887,,Englert,"""for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider""",2013,physics
888,,Higgs,"""for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider""",2013,physics
884,,Rothman,"""for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells""",2013,medicine
885,,Schekman,"""for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells""",2013,medicine
886,,Südhof,"""for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells""",2013,medicine
878,,Lefkowitz,"""for studies of G-protein-coupled receptors""",2012,chemistry
879,,Kobilka,"""for studies of G-protein-coupled receptors""",2012,chemistry
882,,Roth,"""for the theory of stable allocations and the practice of market design""",2012,economics
883,,Shapley,"""for the theory of stable allocations and the practice of market design""",2012,economics
880,,Yan,"""who with hallucinatory realism merges folk tales, history and the contemporary""",2012,literature
881,,,"""for over six decades contributed to the advancement of peace and reconciliation, democracy and human rights in Europe""",2012,peace
876,,Haroche,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems""",2012,physics
877,,Wineland,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems""",2012,physics
874,,Gurdon,"""for the discovery that mature cells can be reprogrammed to become pluripotent""",2012,medicine
875,,Yamanaka,"""for the discovery that mature cells can be reprogrammed to become pluripotent""",2012,medicine
